?b isMarriedTo ?a,?a isMarriedTo ?b
?a wasBornIn ?c   ?c isLocatedIn France,?a isCitizenOf France
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Cities_in_France,?a isCitizenOf France
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_commune_108541609,?a isCitizenOf France
?a wasBornIn ?c   Sciences_Po isLocatedIn ?c,?a isCitizenOf France
?a wasBornIn ?c   School_for_Advanced_Studies_in_the_Social_Sciences isLocatedIn ?c,?a isCitizenOf France
?a wasBornIn ?c   Polytech_Group_(France) isLocatedIn ?c,?a isCitizenOf France
?a wasBornIn ?c   Francia hasCapital ?c,?a isCitizenOf France
?a wasBornIn ?c   France hasCapital ?c,?a isCitizenOf France
?a wasBornIn ?c   Kingdom_of_France hasCapital ?c,?a isCitizenOf France
?a wasBornIn ?c   Jean-Victor_Poncelet livesIn ?c,?a isCitizenOf France
?a wasBornIn ?c   Enguerrand_Quarton created ?c,?a isCitizenOf France
?a diedIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wordnet_commune_108541609,?a isCitizenOf France
?a diedIn ?c   Sciences_Po isLocatedIn ?c,?a isCitizenOf France
?a diedIn ?c   School_for_Advanced_Studies_in_the_Social_Sciences isLocatedIn ?c,?a isCitizenOf France
?a diedIn ?c   Polytech_Group_(France) isLocatedIn ?c,?a isCitizenOf France
?a diedIn ?c   France hasCapital ?c,?a isCitizenOf France
?a diedIn ?c   Kingdom_of_France hasCapital ?c,?a isCitizenOf France
?a wasBornIn ?c   ?c isLocatedIn California,?a isCitizenOf United_States
?a wasBornIn ?c   ?c isLocatedIn Pennsylvania,?a isCitizenOf United_States
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Incorporated_cities_and_towns_in_California,?a isCitizenOf United_States
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Planned_cities_in_the_United_States,?a isCitizenOf United_States
?a wasBornIn ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Port_cities_in_California,?a isCitizenOf United_States
?a wasBornIn ?c   NBC isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Scouting_in_California isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Bannered_routes_of_U.S._Route_1 isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Death_to_Smoochy isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   NBCUniversal isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Mirari_Films isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Fox_Entertainment_Group isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   The_Legend_of_Bruce_Lee isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   American_Academy_of_Dramatic_Arts isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Loyola_University_Chicago isLocatedIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Marc_Shaiman livesIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Robert_Ripley livesIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Mary_Sinclair livesIn ?c,?a isCitizenOf United_States
?a wasBornIn ?c   Bellingham_International_Airport isConnectedTo ?c,?a isCitizenOf United_States
?a wasBornIn ?c   London_Heathrow_Terminal_2 isConnectedTo ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn New_York_City,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Chicago,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn California,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn New_Haven,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Princeton,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Stanford,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn New_Jersey,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn New_Haven,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Manhattan,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Illinois,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Cambridge_(Massachusetts),?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Massachusetts,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Silicon_Valley,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn Cambridge,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c isLocatedIn United_States,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Technological_universities_in_the_United_States,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Los_Angeles_County,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_Connecticut,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_New_Haven_County,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Middlesex_County,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_New_Jersey,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Santa_Clara_County,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Cambridge,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_New_York_City,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_the_United_States,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_New_York_(state),?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Chicago,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_California,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_accredited_by_the_Southern_Association_of_Colleges_and_Schools,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_Massachusetts,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Flagship_universities_in_the_United_States,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Land-grant_universities_and_colleges,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Engineering_universities_and_colleges_in_Massachusetts,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Alameda_County,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_in_Manhattan,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Private_universities_and_colleges_in_Illinois,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Public_universities_and_colleges_in_California,?a isCitizenOf United_States
?a graduatedFrom ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type wikicat_Universities_and_colleges_accredited_by_the_Northwest_Commission_on_Colleges_and_Universities,?a isCitizenOf United_States
?a graduatedFrom ?c   Henry_Eyring worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   David_Mumford worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Lennart_Ljung worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Oswald_Veblen worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Abraham_Robinson worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Irving_Segal worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Frederick_Jackson_Turner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Rahul_Pandharipande worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Jacob_Wolfowitz worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Daniel_C._Tsui worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Murray_Barnson_Emeneau worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Philip_Zimbardo worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Felix_Bloch worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Max_Tishler worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Lars_Ahlfors worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Griffith_C._Evans worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Isidor_Isaac_Rabi worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Edwin_E._Moise worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Oscar_Zariski worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   John_Howard_Northrop worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Peter_Suber worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Michio_Kaku worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Fred_Donner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Carlton_M._Caves worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Seymour_Benzer worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Nicholas_Georgescu-Roegen worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Charles_W._Misner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Gordon_Moore worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Karl_Rubin worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   William_Fulton_(mathematician) worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Richard_Lewontin worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Florian_Znaniecki worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Fred_Brooks worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Clifford_Geertz worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Seth_Lloyd worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Barton_Zwiebach worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Yu_Ying-shih worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   William_J._LeVeque worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Stanislaw_Ulam worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Martin_Karplus worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Stephen_Shenker worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Yuet_Wai_Kan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Cleve_Moler worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   John_H._Lawrence worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Daniel_A._Arnold worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Harold_Stark worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Edmund_Morgan_(historian) worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Kurt_Lewin worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Donald_J._Cram worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Li_Fang-Kuei worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   David_H._Hubel worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Samuel_Flagg_Bemis worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   E._O._Wilson worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Richard_N._Frye worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Claude_Chevalley worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Niall_Ferguson worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Elliot_Aronson worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Salvador_Luria worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Marshall_Harvey_Stone worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Murray_Gell-Mann worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Andrei_Okounkov worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Arno_J._Mayer worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Hugh_Bradner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Eugene_Lindsay_Opie worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Arthur_Leonard_Schawlow worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Curtis_T._McMullen worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Richard_Feynman worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Robert_Langlands worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Paul_Halmos worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Preston_McAfee worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Jerry_Coyne worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Abraham_Adrian_Albert worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   John_Tate worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Donella_Meadows worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Nathan_Jacobson worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Esther_Duflo worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Rudolf_Jaenisch worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Raoul_Bott worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Robert_Andrews_Millikan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Emanuel_Parzen worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   David_Kazhdan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Jon_Kleinberg worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   John_Fenn_(chemist) worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Valentine_Telegdi worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Kenkichi_Iwasawa worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Paul_Berg worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Dudley_R._Herschbach worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   H._Eugene_Stanley worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Phillip_Griffiths worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Peter_H._Raven worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Morton_Beiser worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Hassler_Whitney worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Daniel_McFadden worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Dorian_M._Goldfeld worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Fritjof_Capra worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Justine_Cassell worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   David_Gross worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Rudolph_A._Marcus worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Stephen_Jay_Gould worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   G._William_Skinner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Martin_Ostwald worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Eric_Foner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   John_McCarthy worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Yves_A._Lussier worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Robert_C._Merton worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Elias_Porter worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   B._F._Skinner worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Marlan_Scully worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Elaine_Pagels worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Luis_Caffarelli worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Samuel_P._Huntington worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Arthur_Kornberg worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Richard_Askey worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Claude_Shannon worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   J._Robert_Oppenheimer worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Yuan_T._Lee worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Carl_Sagan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Lipman_Bers worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Peter_Sarnak worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Joseph_M._Pettit worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Hsiao-Lan_Kuo worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Ernest_Lawrence worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   David_Rosenhan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Ramanathan_V._Guha worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Andrey_Korotayev worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   StanisBaw_Ulam worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Heisuke_Hironaka worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   C._Vann_Woodward worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   E._H._Moore worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   George_Dantzig worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Marie_Maynard_Daly worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Thomas_Hunt_Morgan worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Linda_B._Buck worksAt ?c,?a isCitizenOf United_States
?a graduatedFrom ?c   Rashid_Khalidi worksAt ?c,?a isCitizenOf United_States
